issue_id,source_audit,issue,severity_for_portfolio,evidence_required,evidence_found,action_taken,manuscript_location,artifact_created_or_updated,verification_command,final_status,unresolved_reason
A1,claude_axiom_F1,"Sec.9 claimed AP 0.17-0.23 / AUROC 0.75-0.80 'across model families'; trees sit at AP 0.109/0.126 and AUROC 0.673/0.717","MODERATE (contradicted own artifact)","severe_ranking.md all-model table","artifact confirms trees below the stated floor; Figure 10 already displayed DT at 0.109","text corrected to all-model range 0.109-~0.23 / 0.673-~0.80 with single-tree-excluded narrower range; figure caption qualified; CLAIM_EVIDENCE_MATRIX 9f corrected with dated erratum","Sec.9; Figure 10 caption","paper/CLAIM_EVIDENCE_MATRIX.md (9f)","python tools/verify_manuscript_numbers.py source","RESOLVED",
A2,claude_axiom_F2,"Table 1 note said blank rule constitutes 'most' of class 0; it constitutes all 32046/32046","MINOR (understated construct dependence)","target_audit.json; modeling-table recount","raw field has no explicit PDO value; class 0 == blanks exactly","wording changed to 'all of class 0 in this extract' in Table 1 note / abstract / Sec.4.2 / limitation 3","Table 1 note; abstract; Sec.4.2; Sec.11 item 3","experiment/target_reporting_process_audit.json (q1)","python tools/verify_manuscript_numbers.py source","RESOLVED",
A3,claude_axiom_F3a,"unweighted ordinal RF accuracy printed 0.684; exact 0.68349 rounds to 0.683","MINOR (misrounded cell)","final_results.json","exact value 0.6834909716","cell corrected in Table 2 and appendix Table 4","Table 2; Table 4 (app)","none (artifact unchanged; manuscript matched to it)","python tools/verify_manuscript_numbers.py source","RESOLVED",
A4,claude_axiom_F3b,"multinomial-logit QWK printed 0.263; exact 0.26249 rounds to 0.262","MINOR (misrounded cell)","final_results.json","exact value 0.2624907183","cell corrected in appendix Table 4","Table 4 (app)","none","python tools/verify_manuscript_numbers.py source","RESOLVED",
A5,claude_axiom_F4,"prose 'log loss from 0.708 to 0.692' double-rounded 0.70747 (printed 0.7075 two paragraphs earlier)","MINOR (rounding inconsistency)","final_results.json calibration block","exact 0.70747 -> 0.69241","prose changed to 'from 0.7075 to 0.6924'","Sec.8.4","none","python tools/verify_manuscript_numbers.py source","RESOLVED",
A6,claude_axiom_F5 / kit_MC5,"paper never stated whether headline hard labels use raw or calibrated probabilities","MINOR (methodological ambiguity)","frozen predictions; calibration path re-execution","median(raw probs)==stored y_pred exactly; frozen calibration block re-derives exactly (diffs 0.0e+00); counterfactual = 1894 labels / oMAE 0.3442 (unused)","explicit raw-probability statements added (Sec.6.3 paragraph; Fig.7 caption; abstract; Sec.8.4)","Sec.6.3; Sec.8.4; Fig.7 caption; abstract","experiment/raw_vs_calibrated_decisions.json; crashsev/raw_vs_calibrated.py","python -m crashsev.raw_vs_calibrated","RESOLVED",
A7,claude_axiom_F6(revised),"posterior-median labels appeared unreconstructable from stored probabilities on 3-4 tie rows","MINOR (root cause reattributed)","exact-parser test on frozen CSVs","frozen CSVs are full-repr and round-trip EXACTLY; pandas DEFAULT parser is 1-ulp imprecise at exact 0.5/tie rows (0 mismatches under float_precision='round_trip')","lossless de-identified parquet + machine round-trip test created; parser caveat documented in Sec.12.1; original audit report carries an erratum note","Sec.12.1; App.C","experiment/predictions_lossless.parquet; experiment/prediction_roundtrip_test.json; crashsev/prediction_serialization.py","python -m crashsev.prediction_serialization","RESOLVED",
A8,claude_axiom_F7,"'The protocol prespecifies four hypotheses' - H-numbering absent from protocol document; freeze is within-study post-exposure","MINOR (language precision)","FINAL_BENCHMARK_PROTOCOL.md + git history","substance frozen in the 00:22Z v4 amendment (success criterion + A5/A7 ablations + FEAT-001); numbering editorial","section retitled 'protocol-frozen comparisons'; H1-H4 labeled editorial; 'not preregistered / not outcome-blind' stated; hypothesis-table caption updated","Sec.7; Table 3 caption","none","python tools/verify_manuscript_numbers.py source","RESOLVED_BY_REFRAMING",
A9,claude_axiom_F8,"informative missingness of retained fields unnamed as an alternative-explanation channel","MODERATE (alternative explanation)","class-conditional missingness; new probe","retained-field missingness outcome-correlated (e.g. Posted Speed 0.350 vs 0.131); missingness-only logistic beats majority (0.3583 vs 0.3614; CI [-0.0047,-0.0015])","new limitation item; Sec.8.8 probe paragraph; Sec.4.2/RQ scope wording","Sec.8.8; Sec.11 item 5; Sec.1","experiment/target_reporting_process_audit.json (q8/q9); crashsev/target_reporting_audit.py","python -m crashsev.target_reporting_audit","RESOLVED",
A10,claude_axiom_F9,"'Non Vehicle Damage' broad-admissible in contract ledger while in-code schema.py grades it post-outcome","MINOR (ledger tension; broad tier only)","both ledgers","tension confirmed; affects only the non-primary broad sensitivity","documented as OUTCOME_PROXIMAL / LEDGER-TENSION-001 in the timing ledger; frozen-run inputs deliberately untouched","none (paper already refuses to promote broad tier)","paper/FEATURE_TIMING_EVIDENCE.md","python -m crashsev.feature_timing_evidence","RESOLVED_BY_REFRAMING",
