analysis_id,description,status,first_run_commit_or_time,run_id,uses_2012_labels,changes_governed_output,reported_location
A01-development-selection,Rolling-origin development model selection and role designation on 2009-2011 (poison-token sentinel enforces that no 2012 outcome is readable),protocol-primary,git 458f784ee82e (dev report pinned by FROZEN.lock),none (development phase),no,no (produces the frozen roles),Sec.7; Sec.8.2
A02-primary-benchmark,"Primary governed benchmark: restricted tier, posterior-median rule, protocol-designated weighted candidate vs majority baseline — the one frozen primary evaluation execution of the 2012 cohort",protocol-primary,git 458f784ee82e,final_8af9d5bc23d8,yes,creates them (the frozen governed outputs),Sec.8.3; Appendix A
A03-secondary-model-comparisons,All 13 secondary paired model-vs-majority contrasts inside the same frozen execution (declared secondary; only H1 is the headline comparison),protocol-secondary,git 458f784ee82e,final_8af9d5bc23d8,yes,no,Sec.8.3; Appendix A
A04-probability-and-calibration,"Proper scores (log loss, Brier, unnormalized RPS), top-label ECE, and development-only calibration applied to 2012 for probability quality only",protocol-secondary,git 458f784ee82e,final_8af9d5bc23d8,yes,no,Sec.8.4
A05-decision-rule-sensitivity,Posterior-median vs argmax hard decisions; deterministic recomputation from the frozen run's stored predictions (no refit); argmax declared a sensitivity in the frozen protocol,protocol-secondary,git 458f784ee82e (derived from the frozen bundle),final_8af9d5bc23d8,yes,no,Sec.6.3; Sec.8.6
A06-error-analysis,"Confusion structure, severe misses, false alarms, confidence bins; deterministic recomputation from the frozen run's stored predictions",protocol-secondary,git 458f784ee82e (derived from the frozen bundle),final_8af9d5bc23d8,yes,no,Sec.9
A07-severe-ranking,Severe one-vs-rest AP/AUROC ranking from the frozen probabilities (declared in the frozen metric suite; no threshold selected),protocol-secondary,git 458f784ee82e (derived from the frozen bundle),final_8af9d5bc23d8,yes,no,Sec.9
A08-broad-tier-sensitivity,"Broad feature-tier sensitivity (hypothesis H4), prespecified in the protocol amendment before the governed v4 execution; separately versioned frozen run",protocol-secondary,git f2f73ed178f8,final_10517423399d,yes,no,Sec.8.7-8.8
A09-lowmiss-sensitivity,High-missingness field-removal sensitivity (>50% development-missingness rule); specified AFTER the primary evaluation (v4.1 round) and executed as a separately versioned frozen run,post-hoc,git 3add4282b74e,final_d612d030bc51,yes,no,Sec.8.8
A10-seed-robustness,"Five-seed refit robustness of the four forest variants (v4.1 retrospective addendum; refits, separately versioned)",post-hoc,v4.1 finalization round (experiment/seed_robustness.md),seed refits (no governed run id),yes,no,Sec.8.8
A11-blank-excluded-target-sensitivity,Blank-excluded target mapping consequence check (shows the alternative mapping is not a comparable three-class problem),post-hoc,v4.1 finalization round (experiment/target_sensitivity.md),sensitivity refit (no governed run id),yes,no,Sec.8.8
A12-ebm-exploratory,"Explainable Boosting Machine, absent from development by design; evaluated only inside the final frozen execution; never competes for the primary role",exploratory-final-only,git 458f784ee82e,final_8af9d5bc23d8,yes,no,Sec.6.2; Sec.8.3; Appendix A
A13-leakage-factorial,"Matched 2x2x2 protocol-defect diagnostic, development years only (2009-2011); declared diagnostic; conditional contrasts, not causal effects",protocol-secondary,artifact generated 2026-07-11 (v4 finalization),development-only diagnostic (no 2012 run),no,no,Sec.8.5
A14-target-reporting-audit,"Target and reporting-process audit: class-0 provenance, count-field zero signatures, quarantine comparison, person-level co-missingness, and the missingness-indicator-only probe",post-hoc,git 42194a619c3a,post-hoc audit (missingness probe: deid parquet pinned),yes,no,Sec.4.2; Sec.8.8; Sec.11(5)
A15-calibrated-label-counterfactual,"Verification that headline hard labels reconstruct from raw probabilities (162,820 labels, zero mismatches) plus the unused development-only-calibrated label counterfactual (1,894 labels change; oMAE 0.3442); the frozen headline is not replaced",post-hoc,git 42194a619c3a,final_8af9d5bc23d8,yes,no (counterfactual only; frozen labels unchanged),Sec.6.3; Sec.8.4
