column,availability,allowed_post_crash_triage,high_coupling,strict_scene_tier,rationale
AADT,pre_event,True,False,True,annual average daily traffic (numeric; sentinel-cleaned)
AHS System,pre_event,True,False,True,Alaska Highway System class
Arrest,post_outcome,False,False,False,post-crash enforcement
At Intersection,pre_event,True,False,True,intersection-related location
Borough,pre_event,True,False,True,coarse administrative geography
CDS Number,identifier,False,False,False,location/segment id
Census Area,pre_event,True,False,True,coarse administrative geography
City,pre_event,True,False,True,city/place
Crash Number,identifier,False,False,False,crash id — row id AND group key (one row per crash)
Crash Severity,target,False,False,False,3-level ordinal outcome
Date,identifier,False,False,False,"timestamp — used to derive the split, not a feature"
DateTime,identifier,False,False,False,"timestamp — split ordering key, not a feature"
Day of Month,temporal,True,False,True,"day-of-month — weak; retained, no strong mechanism"
Day of the Week,temporal,True,False,True,weekday/weekend pattern
Detachment,identifier,False,False,False,agency detachment id
Direction,at_event,True,False,True,travel direction context
Distance From Intersection,pre_event,True,False,True,distance to nearest intersection (numeric)
Election District,pre_event,True,False,True,administrative polygon (not a point)
First Sequence Event,at_event,True,False,False,first harmful event / manner ; STRICT-EXCLUDED: crash-sequence reconstruction (report-stage coding)
First Sequence Location,at_event,True,False,False,location of first event (roadway/shoulder/…) ; STRICT-EXCLUDED: crash-sequence reconstruction (report-stage coding)
Functional Class,pre_event,True,False,True,roadway functional class
Hit and Run,at_event,True,False,True,hit-and-run flag (scene fact)
Intersecting Street,identifier,False,False,False,"free-text cross street — fine location, re-identifying"
Latitude,identifier,False,False,False,point coordinate — restricted (privacy)
Lighting,at_event,True,False,True,lighting condition
Location Type,constant,False,False,False,single-valued in extract — dropped
Longitude,identifier,False,False,False,point coordinate — restricted (privacy)
Maintenance Category,pre_event,True,False,True,roadway maintenance category
Maintenance Responsibility,pre_event,True,False,True,maintenance responsibility
Maintenance Station,identifier,False,False,False,operational station id (location proxy)
Milepoint,identifier,False,False,False,continuous location along route — re-identifying
Month,temporal,True,False,True,calendar month — seasonality
NHS System,pre_event,True,False,True,National Highway System indicator
Non Vehicle Damage,at_event,True,False,False,struck non-vehicle property (collision configuration) ; STRICT-EXCLUDED: damage assessment (co-determined with outcome severity)
Number of Commercial Vehicles Involved,at_event,True,False,True,count of CVs involved
Number of Fatalities,post_outcome,False,False,False,injury/fatality count — defines K; direct leak
Number of Injuries with Fatalities,post_outcome,False,False,False,injury count — direct leak
